0,DATE_ADDED,DATE_REMOVED
29355,2019-12-01,
64603,2019-12-01,
64606,2019-12-01,
148390,2019-12-01,
64609,2019-12-01,
69211,2019-12-01,
64612,2019-12-01,
64615,2019-12-01,
64618,2019-12-01,
64621,2019-12-01,
64624,2019-12-01,
64627,2019-12-01,
64630,2019-12-01,
64633,2019-12-01,
64639,2019-12-01,
64645,2019-12-01,
64651,2019-12-01,
67231,2019-12-01,
69214,2019-12-01,
70321,2019-12-01,
64657,2019-12-01,
64660,2019-12-01,
64663,2019-12-01,
70975,2019-12-01,
64666,2019-12-01,
64669,2019-12-01,
64675,2019-12-01,
64672,2019-12-01,
64678,2019-12-01,
64684,2019-12-01,
69547,2019-12-01,
64744,2019-12-01,
64747,2019-12-01,
64690,2019-12-01,
69520,2019-12-01,
64693,2019-12-01,
64696,2019-12-01,
64699,2019-12-01,
64702,2019-12-01,
64705,2019-12-01,
64708,2019-12-01,
64711,2019-12-01,
64720,2019-12-01,
64729,2019-12-01,
64723,2019-12-01,
64717,2019-12-01,
64714,2019-12-01,
64732,2019-12-01,
64738,2019-12-01,
69550,2019-12-01,
69544,2019-12-01,
69541,2019-12-01,
69553,2019-12-01,
67468,2019-12-01,
64741,2019-12-01,
70399,2019-12-01,
64753,2019-12-01,
64750,2019-12-01,
64756,2019-12-01,
219615,2019-12-01,
64759,2019-12-01,
70765,2019-12-01,
70768,2019-12-01,
64768,2019-12-01,
64771,2019-12-01,
69949,2019-12-01,
30252,2019-12-01,
219709,2019-12-01,
64777,2019-12-01,
64774,2019-12-01,
142432,2019-12-01,
67471,2019-12-01,
64780,2019-12-01,
64783,2019-12-01,
64786,2019-12-01,
67480,2019-12-01,
64789,2019-12-01,
67474,2019-12-01,
67477,2019-12-01,
200872,2019-12-01,
64792,2019-12-01,
70324,2019-12-01,
70201,2019-12-01,
30417,2019-12-01,
69826,2019-12-01,
64795,2019-12-01,
141317,2019-12-01,
201042,2019-12-01,
64807,2019-12-01,
64804,2019-12-01,
144910,2019-12-01,
64798,2019-12-01,
64810,2019-12-01,
64813,2019-12-01,
30502,2019-12-01,
64819,2019-12-01,
64801,2019-12-01,
206578,2019-12-01,
69466,2019-12-01,
70195,2019-12-01,
70519,2019-12-01,
145474,2019-12-01,
64825,2019-12-01,
64822,2019-12-01,
64828,2019-12-01,
64831,2019-12-01,
64834,2019-12-01,
64837,2019-12-01,
69454,2019-12-01,
64840,2019-12-01,
64843,2019-12-01,
64846,2019-12-01,
64852,2019-12-01,
64855,2019-12-01,
64858,2019-12-01,
67504,2019-12-01,
219467,2019-12-01,
64882,2019-12-01,
64885,2019-12-01,
70492,2019-12-01,
64891,2019-12-01,
64888,2019-12-01,
206014,2019-12-01,
70501,2019-12-01,
30773,2019-12-01,
69838,2019-12-01,
69445,2019-12-01,
145503,2019-12-01,
64861,2019-12-01,
70057,2019-12-01,
69451,2019-12-01,
64870,2019-12-01,
70912,2019-12-01,
142422,2019-12-01,
208598,2019-12-01,
71170,2019-12-01,
64879,2019-12-01,
64873,2019-12-01,
64876,2019-12-01,
69442,2019-12-01,
70015,2019-12-01,
67507,2019-12-01,
64894,2019-12-01,
206039,2019-12-01,
64897,2019-12-01,
220363,2019-12-01,
70360,2019-12-01,
64900,2019-12-01,
64903,2019-12-01,
64906,2019-12-01,
64909,2019-12-01,
64915,2019-12-01,
64918,2019-12-01,
70198,2019-12-01,
64921,2019-12-01,
64927,2019-12-01,
70216,2019-12-01,
64924,2019-12-01,
202028,2019-12-01,
67510,2019-12-01,
64930,2019-12-01,
70693,2019-12-01,
70048,2019-12-01,
64933,2019-12-01,
67513,2019-12-01,
64936,2019-12-01,
64939,2019-12-01,
64942,2019-12-01,
64954,2019-12-01,
68062,2019-12-01,
55372,2019-12-01,
69469,2019-12-01,
69475,2019-12-01,
69472,2019-12-01,
64960,2019-12-01,
70297,2019-12-01,
67516,2019-12-01,
67519,2019-12-01,
59753,2019-12-01,
64957,2019-12-01,
70438,2019-12-01,
64966,2019-12-01,
64969,2019-12-01,
214447,2019-12-01,
71131,2019-12-01,
64972,2019-12-01,
64981,2019-12-01,
64978,2019-12-01,
64975,2019-12-01,
64984,2019-12-01,
64987,2019-12-01,
64996,2019-12-01,
64993,2019-12-01,
64990,2019-12-01,
64999,2019-12-01,
31065,2019-12-01,
65002,2019-12-01,
65005,2019-12-01,
65008,2019-12-01,
65011,2019-12-01,
67522,2019-12-01,
65020,2019-12-01,
65014,2019-12-01,
65017,2019-12-01,
141752,2019-12-01,
69787,2019-12-01,
70036,2019-12-01,
69784,2019-12-01,
65026,2019-12-01,
65023,2019-12-01,
67528,2019-12-01,
70573,2019-12-01,
214443,2019-12-01,
65032,2019-12-01,
65029,2019-12-01,
65035,2019-12-01,
65038,2019-12-01,
31175,2019-12-01,
67531,2019-12-01,
69430,2019-12-01,
69433,2019-12-01,
65041,2019-12-01,
