EVENT_VALUE,TAG_ID,EVENT_TIME
0.0,1503788,2020-02-16
1.9,1503789,2020-02-16
0.0,1503790,2020-02-16
0.039,1503791,2020-02-16
3.2880000000000003,1503792,2020-02-16
4.102,1503793,2020-02-16
0.0,1503794,2020-02-16
0.0,1503795,2020-02-16
0.0,1503796,2020-02-16
0.0,1503797,2020-02-16
0.013999999999999999,1503798,2020-02-16
0.505,1503799,2020-02-16
0.0,1503800,2020-02-16
0.0,1503801,2020-02-16
0.006999999999999999,1503802,2020-02-16
0.26,1503803,2020-02-16
0.0,1503804,2020-02-16
0.0,1503805,2020-02-16
0.162,1503806,2020-02-16
0.319,1503807,2020-02-16
0.0,1503808,2020-02-16
0.0,1503809,2020-02-16
0.0,1503810,2020-02-16
0.462,1503811,2020-02-16
0.0,1503812,2020-02-16
0.0,1503813,2020-02-16
0.0,1503814,2020-02-16
0.0,1503815,2020-02-16
0.0,1503816,2020-02-16
0.0,1503817,2020-02-16
0.0,1503818,2020-02-16
0.0,1503819,2020-02-16
0.0,1503820,2020-02-16
0.0,1503821,2020-02-16
0.0,1503822,2020-02-16
66.665,1503823,2020-02-16
66.69800000000001,1503824,2020-02-16
0.0,1503825,2020-02-16
0.0,1503826,2020-02-16
0.0,1503827,2020-02-16
0.0,1503828,2020-02-16
0.0,1503829,2020-02-16
1.189,1503830,2020-02-16
0.401,1503831,2020-02-16
0.0,1503832,2020-02-16
0.0,1503833,2020-02-16
19.7,1503834,2020-02-16
2.5,1503835,2020-02-16
8.3,1503836,2020-02-16
0.0,1503837,2020-02-16
0.0,1503838,2020-02-16
94.492,1503839,2020-02-16
91.43700000000001,1503840,2020-02-16
0.0,1503841,2020-02-16
0.0,1503842,2020-02-16
0.0,1503843,2020-02-16
0.0,1503844,2020-02-16
7.954,1503845,2020-02-16
11.833,1503846,2020-02-16
0.0,1503847,2020-02-16
0.0,1503848,2020-02-16
0.0,1503849,2020-02-16
0.0,1503850,2020-02-16
18.8,1503851,2020-02-16
42.6,1503852,2020-02-16
39.405,1503853,2020-02-16
43.1,1503854,2020-02-16
48.297,1503855,2020-02-16
0.0,1503856,2020-02-16
0.0,1503857,2020-02-16
0.0,1503858,2020-02-16
0.0,1503859,2020-02-16
0.0,1503860,2020-02-16
2.0,1503861,2020-02-16
2.0,1503862,2020-02-16
11.759,1503863,2020-02-16
16.253,1503864,2020-02-16
54.724,1503865,2020-02-16
49.271,1503866,2020-02-16
0.0,1503867,2020-02-16
0.0,1503868,2020-02-16
12.4,1503869,2020-02-16
22.118000000000002,1503870,2020-02-16
0.4,1503871,2020-02-16
2.153,1503872,2020-02-16
0.0,1503873,2020-02-16
0.779,1503874,2020-02-16
0.0,1503875,2020-02-16
1.0,1503876,2020-02-16
1.2990000000000002,1503877,2020-02-16
0.9,1503878,2020-02-16
-0.001,1503879,2020-02-16
10.6,1503880,2020-02-16
10.963,1503881,2020-02-16
0.9,1503882,2020-02-16
1.413,1503883,2020-02-16
7.7,1503884,2020-02-16
17.9,1503885,2020-02-16
16.875999999999998,1503886,2020-02-16
0.1,1503887,2020-02-16
3.235,1503888,2020-02-16
0.0,1503889,2020-02-16
0.0,1503890,2020-02-16
0.0,1503891,2020-02-16
0.0,1503892,2020-02-16
13.3,1503893,2020-02-16
11.543,1503894,2020-02-16
0.1,1503895,2020-02-16
0.0,1503896,2020-02-16
1.3,1503897,2020-02-16
1.5819999999999999,1503898,2020-02-16
0.0,1503899,2020-02-16
0.37,1503900,2020-02-16
0.0,1503901,2020-02-16
0.0,1503902,2020-02-16
0.0,1503903,2020-02-16
0.0,1503904,2020-02-16
0.0,1503905,2020-02-16
0.0,1503906,2020-02-16
0.0,1503907,2020-02-16
19.77,1503908,2020-02-16
25.519000000000002,1503909,2020-02-16
32.6,1503910,2020-02-16
32.397,1503911,2020-02-16
0.0,1503912,2020-02-16
72.31,1503913,2020-02-16
72.477,1503914,2020-02-16
15.953,1503915,2020-02-16
21.174,1503916,2020-02-16
0.0,1503917,2020-02-16
0.0,1503918,2020-02-16
20.065,1503919,2020-02-16
24.779,1503920,2020-02-16
0.0,1503921,2020-02-16
3.0,1503922,2020-02-16
3.8789999999999996,1503923,2020-02-16
21.941999999999997,1503924,2020-02-16
32.44,1503925,2020-02-16
135.437,1503926,2020-02-16
135.511,1503927,2020-02-16
0.0,1503928,2020-02-16
0.0,1503929,2020-02-16
1.0,1503930,2020-02-16
1.014,1503931,2020-02-16
5.3,1503932,2020-02-16
4.498,1503933,2020-02-16
11.177,1503934,2020-02-16
20.118,1503935,2020-02-16
22.4,1503936,2020-02-16
21.874000000000002,1503937,2020-02-16
9.4,1503938,2020-02-16
10.385,1503939,2020-02-16
6.5,1503940,2020-02-16
16.372,1503941,2020-02-16
13.3,1503942,2020-02-16
13.195,1503943,2020-02-16
25.0,1503944,2020-02-16
27.83,1503945,2020-02-16
9.7,1503946,2020-02-16
12.181,1503947,2020-02-16
3.6,1503948,2020-02-16
3.069,1503949,2020-02-16
0.0,1503950,2020-02-16
0.0,1503951,2020-02-16
29.6,1503952,2020-02-16
30.118000000000002,1503953,2020-02-16
0.0,1503954,2020-02-16
0.0,1503955,2020-02-16
0.0,1503956,2020-02-16
15.8,1503957,2020-02-16
19.750999999999998,1503958,2020-02-16
377.909,1503959,2020-02-16
366.458,1503960,2020-02-16
3.548,1503961,2020-02-16
2.623,1503962,2020-02-16
62.8,1503963,2020-02-16
62.805,1503964,2020-02-16
0.0,1503965,2020-02-16
0.0,1503966,2020-02-16
91.491,1503967,2020-02-16
93.635,1503968,2020-02-16
77.5,1503969,2020-02-16
77.07300000000001,1503970,2020-02-16
84.24,1503971,2020-02-16
83.618,1503972,2020-02-16
188.301,1503973,2020-02-16
189.475,1503974,2020-02-16
107.4,1503975,2020-02-16
109.01299999999999,1503976,2020-02-16
416.62300000000005,1503977,2020-02-16
415.593,1503978,2020-02-16
0.0,1503979,2020-02-16
0.0,1503980,2020-02-16
142.439,1503981,2020-02-16
142.545,1503982,2020-02-16
0.0,1503983,2020-02-16
0.0,1503984,2020-02-16
0.0,1503985,2020-02-16
0.0,1503986,2020-02-16
1.047,1503987,2020-02-16
0.462,1503988,2020-02-16
120.758,1503989,2020-02-16
119.95299999999999,1503990,2020-02-16
0.0,1503991,2020-02-16
0.0,1503992,2020-02-16
0.0,1503993,2020-02-16
0.2,1503994,2020-02-16
0.563,1503995,2020-02-16
0.0,1503996,2020-02-16
0.0,1503997,2020-02-16
0.0,1503998,2020-02-16
0.0,1503999,2020-02-16
85.1,1503610,2020-03-16
2330.8,1503611,2020-03-16
1984.5,1503612,2020-03-16
28.1,1503613,2020-03-16
15.7,1503614,2020-03-16
334.0,1503616,2020-03-16
2.687,1503617,2020-03-16
3.781,1503618,2020-03-16
0.0,1503619,2020-03-16
0.0,1503620,2020-03-16
1.871,1503621,2020-03-16
6.517,1503622,2020-03-16
0.0,1503623,2020-03-16
1.23,1503624,2020-03-16
0.32799999999999996,1503625,2020-03-16
0.0,1503626,2020-03-16
0.632,1503627,2020-03-16
0.0,1503628,2020-03-16
0.0,1503629,2020-03-16
13.352,1503630,2020-03-16
12.615,1503631,2020-03-16
0.0,1503632,2020-03-16
0.0,1503633,2020-03-16
0.0,1503634,2020-03-16
0.0,1503635,2020-03-16
0.0,1503636,2020-03-16
