TAG_ID,TAG_DESC,TAG_UNITS,OBJECT_NO
1503787,RTU_totaliser,ML,70519
1503788,Flow_integral,ML,70519
1503789,Manual_reading,ML,145474
1503790,RTU_totaliser,ML,64825
1503791,Flow_integral,ML,64825
1503792,RTU_totaliser,ML,64822
1503793,Flow_integral,ML,64822
1503794,RTU_totaliser,ML,64828
1503795,Flow_integral,ML,64828
1503796,RTU_totaliser,ML,64831
1503797,Flow_integral,ML,64831
1503798,RTU_totaliser,ML,64834
1503799,Flow_integral,ML,64834
1503800,RTU_totaliser,ML,64837
1503801,Flow_integral,ML,64837
1503802,RTU_totaliser,ML,69454
1503803,Flow_integral,ML,69454
1503804,RTU_totaliser,ML,64840
1503805,Flow_integral,ML,64840
1503806,RTU_totaliser,ML,64843
1503807,Flow_integral,ML,64843
1503808,RTU_totaliser,ML,64846
1503809,Flow_integral,ML,64846
1503810,RTU_totaliser,ML,64852
1503811,Flow_integral,ML,64852
1503812,RTU_totaliser,ML,64855
1503813,Flow_integral,ML,64855
1503814,RTU_totaliser,ML,64858
1503815,Flow_integral,ML,64858
1503816,RTU_totaliser,ML,67504
1503817,Flow_integral,ML,67504
1503818,Manual_reading,ML,219467
1503819,RTU_totaliser,ML,64882
1503820,Flow_integral,ML,64882
1503821,RTU_totaliser,ML,64885
1503822,Flow_integral,ML,64885
1503823,RTU_totaliser,ML,70492
1503824,Flow_integral,ML,70492
1503825,RTU_totaliser,ML,64891
1503826,Flow_integral,ML,64891
1503827,RTU_totaliser,ML,64888
1503828,Flow_integral,ML,64888
1503829,Manual_reading,ML,206014
1503830,RTU_totaliser,ML,70501
1503831,Flow_integral,ML,70501
1503832,Manual_reading,ML,69838
1503833,Manual_reading,ML,69445
1503834,Manual_reading,ML,145503
1503835,Manual_reading,ML,64861
1503836,Manual_reading,ML,70057
1503837,RTU_totaliser,ML,69451
1503838,Flow_integral,ML,69451
1503839,RTU_totaliser,ML,64870
1503840,Flow_integral,ML,64870
1503841,Manual_reading,ML,70912
1503842,Manual_reading,ML,142422
1503843,Manual_reading,ML,208598
1503844,Manual_reading,ML,71170
1503845,RTU_totaliser,ML,64879
1503846,Flow_integral,ML,64879
1503847,RTU_totaliser,ML,64873
1503848,Flow_integral,ML,64873
1503849,RTU_totaliser,ML,64876
1503850,Flow_integral,ML,64876
1503851,Manual_reading,ML,69442
1503852,RTU_totaliser,ML,70015
1503853,Flow_integral,ML,70015
1503854,RTU_totaliser,ML,67507
1503855,Flow_integral,ML,67507
1503856,RTU_totaliser,ML,64894
1503857,Flow_integral,ML,64894
1503858,Manual_reading,ML,206039
1503859,RTU_totaliser,ML,64897
1503860,Flow_integral,ML,64897
1503861,Manual_reading,ML,220363
1503862,Manual_reading,ML,70360
1503863,RTU_totaliser,ML,64900
1503864,Flow_integral,ML,64900
1503865,RTU_totaliser,ML,64903
1503866,Flow_integral,ML,64903
1503867,RTU_totaliser,ML,64906
1503868,Flow_integral,ML,64906
1503869,RTU_totaliser,ML,64909
1503870,Flow_integral,ML,64909
1503871,RTU_totaliser,ML,64915
1503872,Flow_integral,ML,64915
1503873,RTU_totaliser,ML,64918
1503874,Flow_integral,ML,64918
1503875,Manual_reading,ML,70198
1503876,RTU_totaliser,ML,64921
1503877,Flow_integral,ML,64921
1503878,RTU_totaliser,ML,64927
1503879,Flow_integral,ML,64927
1503880,RTU_totaliser,ML,70216
1503881,Flow_integral,ML,70216
1503882,RTU_totaliser,ML,64924
1503883,Flow_integral,ML,64924
1503884,Manual_reading,ML,202028
1503885,RTU_totaliser,ML,67510
1503886,Flow_integral,ML,67510
1503887,RTU_totaliser,ML,64930
1503888,Flow_integral,ML,64930
1503889,Manual_reading,ML,70693
1503890,Manual_reading,ML,70048
1503891,RTU_totaliser,ML,64933
1503892,Flow_integral,ML,64933
1503893,RTU_totaliser,ML,67513
1503894,Flow_integral,ML,67513
1503895,RTU_totaliser,ML,64936
1503896,Flow_integral,ML,64936
1503897,RTU_totaliser,ML,64939
1503898,Flow_integral,ML,64939
1503899,RTU_totaliser,ML,64942
1503900,Flow_integral,ML,64942
1503901,RTU_totaliser,ML,64954
1503902,Flow_integral,ML,64954
1503903,RTU_totaliser,ML,68062
1503904,Flow_integral,ML,68062
1503905,RTU_totaliser,ML,55372
1503906,Flow_integral,ML,55372
1503907,Manual_reading,ML,69469
1503908,RTU_totaliser,ML,69475
1503909,Flow_integral,ML,69475
1503910,RTU_totaliser,ML,69472
1503911,Flow_integral,ML,69472
1503912,Manual_reading,ML,64960
1503913,RTU_totaliser,ML,70297
1503914,Flow_integral,ML,70297
1503915,RTU_totaliser,ML,67516
1503916,Flow_integral,ML,67516
1503917,RTU_totaliser,ML,67519
1503918,Flow_integral,ML,67519
1503919,RTU_totaliser,ML,64957
1503920,Flow_integral,ML,64957
1503921,Manual_reading,ML,70438
1503922,RTU_totaliser,ML,64966
1503923,Flow_integral,ML,64966
1503924,RTU_totaliser,ML,64969
1503925,Flow_integral,ML,64969
1503926,RTU_totaliser,ML,214447
1503927,Flow_integral,ML,214447
1503928,RTU_totaliser,ML,71131
1503929,Flow_integral,ML,71131
1503930,RTU_totaliser,ML,64972
1503931,Flow_integral,ML,64972
1503932,RTU_totaliser,ML,64981
1503933,Flow_integral,ML,64981
1503934,RTU_totaliser,ML,64978
1503935,Flow_integral,ML,64978
1503936,RTU_totaliser,ML,64975
1503937,Flow_integral,ML,64975
1503938,RTU_totaliser,ML,64984
1503939,Flow_integral,ML,64984
1503940,RTU_totaliser,ML,64987
1503941,Flow_integral,ML,64987
1503942,RTU_totaliser,ML,64996
1503943,Flow_integral,ML,64996
1503944,RTU_totaliser,ML,64993
1503945,Flow_integral,ML,64993
1503946,RTU_totaliser,ML,64990
1503947,Flow_integral,ML,64990
1503948,RTU_totaliser,ML,64999
1503949,Flow_integral,ML,64999
1503950,RTU_totaliser,ML,31065
1503951,Flow_integral,ML,31065
1503952,RTU_totaliser,ML,65002
1503953,Flow_integral,ML,65002
1503954,RTU_totaliser,ML,65005
1503955,Flow_integral,ML,65005
1503956,Manual_reading,ML,65008
1503957,RTU_totaliser,ML,65011
1503958,Flow_integral,ML,65011
1503959,RTU_totaliser,ML,67522
1503960,Flow_integral,ML,67522
1503961,RTU_totaliser,ML,65020
1503962,Flow_integral,ML,65020
1503963,RTU_totaliser,ML,65014
1503964,Flow_integral,ML,65014
1503965,RTU_totaliser,ML,65017
1503966,Flow_integral,ML,65017
1503967,RTU_totaliser,ML,141752
1503968,Flow_integral,ML,141752
1503969,RTU_totaliser,ML,69787
1503970,Flow_integral,ML,69787
1503971,RTU_totaliser,ML,70036
1503972,Flow_integral,ML,70036
1503973,RTU_totaliser,ML,69784
1503974,Flow_integral,ML,69784
1503975,RTU_totaliser,ML,65026
1503976,Flow_integral,ML,65026
1503977,RTU_totaliser,ML,65023
1503978,Flow_integral,ML,65023
1503979,Manual_reading,ML,67528
1503980,Manual_reading,ML,70573
1503981,RTU_totaliser,ML,214443
1503982,Flow_integral,ML,214443
1503983,RTU_totaliser,ML,65032
1503984,Flow_integral,ML,65032
1503985,RTU_totaliser,ML,65029
1503986,Flow_integral,ML,65029
1503987,RTU_totaliser,ML,65035
1503988,Flow_integral,ML,65035
1503989,RTU_totaliser,ML,65038
1503990,Flow_integral,ML,65038
1503991,RTU_totaliser,ML,31175
1503992,Flow_integral,ML,31175
1503993,Manual_reading,ML,67531
1503994,RTU_totaliser,ML,69430
1503995,Flow_integral,ML,69430
1503996,RTU_totaliser,ML,69433
1503997,Flow_integral,ML,69433
1503998,RTU_totaliser,ML,65041
1503999,Flow_integral,ML,65041
