System Efficiency between L258-2 (26137) and TYSONS (26165)
for period 2019-10-16 00:00 to 2019-11-17 00:00

System Efficiency (%):, 55.8

Diverted (ML):, 940.0
Delivered (ML):, 22.9
Evaporative loss (ML):, 3.4
Rainfall (ML):, 0.7
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 15.4

Outlets
Telemetered:, 1
Manually read:, 2 
Unmetered sites:, 0
Total:, 3

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M2367A/1,64120,,,0.000,,
L258-3,26585,22.507,22.745,,-1.045,22.876
M2367A/3,67663,,,0.000,,
, Total, 0.0, 0.0, 0.0, , 22.9

time of data collection: 2020-04-23 14:28

meters not read:
