System Efficiency between TYSONS (26165) and TABBITA-1 (26215)
for period 2019-08-16 00:00 to 2019-09-17 00:00

System Efficiency (%):, 33.7

Diverted (ML):, 417.7
Delivered (ML):, 43.8
Evaporative loss (ML):, 1.5
Rainfall (ML):, 0.2
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 84.6

Outlets
Telemetered:, 3
Manually read:, 0 
Unmetered sites:, 0
Total:, 3

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff
M2371/1,67666,30.295,29.279,,3.354
M2371/3,67672,11.032,10.598,,3.935
M2371/4,67675,2.466,2.378,,3.588
, Total, 43.8, 42.3, 0.0, , 0.0

time of data collection: 2020-04-23 14:27

meters not read:
