,OBJECT_NO,LINK_OBJECT_NO,LINK_DESCRIPTION,POSITION
0,26137,64120,D/S Meter,0
1,26137,26585,Regulator,1
2,26137,67663,D/S Meter,2
3,26137,26165,Regulator,3
4,26165,67666,D/S Meter,0
5,26165,67672,D/S Meter,1
6,26165,67675,D/S Meter,2
7,26165,26215,Regulator,3
8,26215,64129,D/S Meter,0
9,26215,26228,Regulator,1

