System Efficiency between L258-2 (26137) and TYSONS (26165)
for period 2019-06-16 00:00 to 2019-07-17 00:00

System Efficiency (%):, 0.2

Diverted (ML):, 913.0 56.4
Delivered (ML):, 1.9
Evaporative loss (ML):, 0.8
Rainfall (ML):, 0.4
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 854.3

Outlets
Telemetered:, 1
Manually read:, 2 
Unmetered sites:, 0
Total:, 3

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M2367A/1,64120,,,0.000,,
L258-3,26585,1.866,1.888,,-1.178,1.896
M2367A/3,67663,,,0.000,,
, Total, 0.0, 0.0, 0.0, , 1.9

time of data collection: 2020-04-23 15:04

meters not read:
