System Efficiency between L258-2 (26137) and TYSONS (26165)
for period 2019-07-16 00:00 to 2019-08-17 00:00

System Efficiency (%):, 1.2

Diverted (ML):, 634.0
Delivered (ML):, 6.9
Evaporative loss (ML):, 0.9
Rainfall (ML):, 0.4
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, 574.4

Outlets
Telemetered:, 1
Manually read:, 2 
Unmetered sites:, 0
Total:, 3
2 manually read meters are missing up to date readings.
outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M2367A/1,64120,,,,,
L258-3,26585,6.702,6.848,,-2.127,6.901
M2367A/3,67663,,,,,
, Total, 0.0, 0.0, 0.0, , 6.9

time of data collection: 2020-04-23 14:27

meters not read:
,64120
,67663
