,OBJECT_NO,LINK_OBJECT_NO,LINK_DESCRIPTION,POSITION
0,26025,70954,D/S Meter,0
1,26025,69799,D/S Meter,1
2,26025,69793,D/S Meter,2
3,26025,211192,D/S Meter,3
4,26025,64105,D/S Meter,4
5,26025,26054,Regulator,5
6,26025,67606,D/S Meter,6
7,26025,26104,Regulator,7
8,26025,40949,Regulator,8
