Meter data between SCOTTS RD REGULATOR (29355) and T14/1 (65041)
from: 2020-01-03 00:00 to 2020-01-04 00:00
asset_code,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML)
M2041/2,71131,,,0
N567/1,64972,,,1.3
N568/1,64981,0.5,0.46489292824074085,
N569/1,64978,1.0,1.5772149999999998,
N570/1,64975,0.5,0.21765327546296293,
N571/1,64984,,,10
N572/1,64987,1.0,2.0064922685185183,
N573/1,64996,0.1999999999998181,0.2718171469907408,
N574/1,64993,0.0,0.9867835069444444,
N575/1,64990,1.5,1.4505360127314815,
N578/1,64999,0.40000000000009095,0.4394866145833332,
MC10 NEWFARMS ESCAPE,31065,0.0,0.0,
N576/1,65002,3.0,1.9254123379629624,
M1997/4,65005,,,0.1
N577A/P,65008,,,0
N577/1,65011,0.8000000000000682,0.7756288368055557,
T16/1,67522,,,266.4
BWUA/1,65020,0.05200000000002092,0.026567000000000004,
M2042/1,65014,7.0,0.0,
M2014A/1,65017,,,0
T16A/1,141752,3.6340000000000146,4.9295290000000005,
T15C/1,69787,17.0,17.76199410879629,
M2042A/1,70036,9.0,0.0,
T17/1,69784,11.0,0.362178298611111,
T17/2,65026,11.0,9.206859722222221,
T15/1,65023,39.58699999999998,39.956737999999945,
T15A/D,67528,,,0
T14C/P,70573,,,0
T17/3,214443,19.680899999999838,19.89154446759262,
T20B/1,65032,,,0
T18/1,65029,,,0
T18/2,65035,,,1.4
T20/1,65038,,,0.0
MC10 WILLIAMS ESCAPE,31175,0.0,0.0,
T20A/P,67531,,,0
T19A/1,69430,0.0,0.0007298611111111109,
T19/1,69433,,,0.0
T14/1,65041,,,8.2
total meters in pool: 221
meters not used: {'30417', '59753', '30502', '30773'}
negative meters (15): ['64612', '64618', '64639', '64660', '64675', '64672', '64744', '69553', '64750', '64822', '64987', '64996', '64990', '64999', '65011']
manually read (94): {'65029', '69211', '65041', '71170', '64888', '206014', '202028', '65008', '220363', '69550', '142422', '69469', '64753', '70693', '64855', '64972', '65032', '64936', '64729', '64876', '219467', '69466', '70048', '64825', '65035', '65005', '64777', '67531', '64933', '64921', '67516', '70573', '141317', '64915', '206578', '64960', '64861', '70321', '64606', '64873', '64645', '69433', '64900', '64942', '64984', '64939', '64804', '67477', '69445', '69442', '70975', '69541', '71131', '67519', '219615', '206039', '70198', '64891', '64906', '64798', '64885', '70057', '70912', '64807', '142432', '69838', '64924', '70324', '67231', '64930', '64801', '64669', '144910', '64603', '64819', '68062', '65017', '145503', '65038', '145474', '67528', '201042', '69826', '64657', '148390', '64882', '64774', '64894', '208598', '70438', '70360', '67522', '64897', '64918'}
time of data collection: 2020-01-08 09:47
