,OBJECT_NO,LINK_OBJECT_NO,LINK_DESCRIPTION,POSITION
237,31163,69430,D/S Meter,4
238,31195,69433,D/S Meter,0
239,31205,65041,D/S Meter,0
240,31195,31205,Regulator,1
241,31163,31195,Regulator,5
242,31153,31163,Regulator,3
243,31147,31153,Regulator,2
244,31128,31147,Regulator,3
245,31109,31128,Regulator,2
246,31075,31109,Regulator,4
247,31050,31075,Regulator,6
248,30996,31050,Regulator,5
249,30868,30996,Regulator,13
250,30840,30868,Regulator,9
251,30822,30840,Regulator,5
252,30525,30822,Regulator,15
253,30516,30525,Regulator,4
254,30460,30516,Regulator,6
255,30239,30460,Regulator,11
256,29355,30239,Regulator,30
257,LVBC,29355,Regulator,0
