System Efficiency between TYSONS (26165) and TABBITA-1 (26215)
for period 2019-09-16 00:00 to 2019-10-17 00:00

System Efficiency (%):, 145.8

Diverted (ML):, 879.5
Delivered (ML):, 70.7
Evaporative loss (ML):, 2.4
Rainfall (ML):, 0.1
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, -24.4

Outlets
Telemetered:, 3
Manually read:, 0 
Unmetered sites:, 0
Total:, 3

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff
M2371/1,67666,30.960,30.003,,3.092
M2371/3,67672,33.545,32.567,,2.916
M2371/4,67675,6.240,5.734,,8.109
, Total, 70.7, 68.3, 0.0, , 0.0

time of data collection: 2020-04-23 14:28

meters not read:
