System Efficiency between L258-2 (26137) and TYSONS (26165)
for period 2019-12-16 00:00 to 2020-01-17 00:00

System Efficiency (%):, -6.4

Diverted (ML):, 2267.4 2709.5
Delivered (ML):, 28.2
Evaporative loss (ML):, 5.4
Rainfall (ML):, 0.1
Seepage loss (ML):, not yet implemented
Unaccounted loss (ML):, -475.7

Outlets
Telemetered:, 1
Manually read:, 2 
Unmetered sites:, 0
Total:, 3

outlet,object_id,RTU_totaliser (ML),flow_integral (ML),manual_reading (ML),diff,FG_calc (ML)
M2367A/1,64120,,,0.000,,
L258-3,26585,26.835,28.059,,-4.361,28.219
M2367A/3,67663,,,0.000,,
, Total, 0.0, 0.0, 0.0, , 28.2

time of data collection: 2020-04-23 15:06

meters not read:
