EVENT_TIME,FG_flow,Q_SL
2019-12-30 00:00:00,317.37104000000005,309.90075189367326
2019-12-30 00:30:00,318.19950666666665,311.24777632370836
2019-12-30 01:00:00,334.22123833333336,321.9633464896988
2019-12-30 01:30:00,329.37218472222224,315.985419433146
2019-12-30 02:00:00,340.6052701190476,323.0078464483161
2019-12-30 02:30:00,327.07620799999995,319.0498547435904
2019-12-30 03:00:00,319.32541,311.0920797430377
2019-12-30 03:30:00,318.3333953333334,313.41753020579876
2019-12-30 04:00:00,,
2019-12-30 04:30:00,,
2019-12-30 05:00:00,313.5565633333333,309.7522559408228
2019-12-30 05:30:00,312.31476416666663,307.29086253147733
2019-12-30 06:00:00,316.8220708333333,310.8083620246221
2019-12-30 06:30:00,312.6162308333333,309.3013014963364
2019-12-30 07:00:00,312.71758833333337,306.3029384988804
2019-12-30 07:30:00,316.8698172222222,313.1110624454352
2019-12-30 08:00:00,325.0585844444444,319.4879990973032
2019-12-30 08:30:00,324.0594783333333,318.1777720078907
2019-12-30 09:00:00,328.86581583333333,321.8779943280668
2019-12-30 09:30:00,324.15608916666673,317.30114312705626
2019-12-30 10:00:00,327.1320591666667,316.98552569205475
2019-12-30 10:30:00,316.83322749999996,308.1377750518787
2019-12-30 11:00:00,313.0852311111111,300.43686531875863
2019-12-30 11:30:00,314.8000308333333,299.92700209152963
2019-12-30 12:00:00,317.20669333333336,300.1124277017821
2019-12-30 12:30:00,322.07400861111114,301.15948693309537
2019-12-30 13:00:00,327.40601833333335,306.8591034903076
2019-12-30 13:30:00,334.17965999999996,313.8373948646945
2019-12-30 14:00:00,339.7283483333333,318.95816800459596
2019-12-30 14:30:00,337.84725166666664,320.36062143018603
2019-12-30 15:00:00,331.4036566666666,317.07868364934967
2019-12-30 15:30:00,331.891765,316.6756430912755
2019-12-30 16:00:00,323.198995,314.13514619051824
2019-12-30 16:30:00,319.4427616666667,311.3657392116327
2019-12-30 17:00:00,316.2768708333333,309.64725592148267
